distance,target_velocity,target_acceleration,actual_duration,,,,
35,900,100,1.05033278,,,,
35,900,200,0.62558908,,,,
35,900,300,0.62547946,,,,
35,900,400,0.4137452,,,,
35,900,500,0.41355438,,,,
35,900,600,0.41324976,,,,
35,900,700,0.41413532,,,,
35,900,800,0.41362218,,,,
35,900,900,0.20160434,,,,
35,900,1000,0.20180946,,,,
35,1000,100,1.04834382,,,,
35,1000,200,0.6258706,,,,
35,1000,300,0.62537402,,,,
35,1000,400,0.41378076,,,,
35,1000,500,0.41345366,,,,
35,1000,600,0.41401298,,,,
35,1000,700,0.4136394,,,,
35,1000,800,0.41355358,,,,
35,1000,900,0.20186212,,,,
35,1000,1000,0.20165006,,,,
40,100,100,1.05001106,,,,
40,100,200,0.83759896,,,,
40,100,300,0.62565968,,,,
40,100,400,0.62602922,,,,
40,100,500,0.4135878,,,,
40,100,600,0.41353576,,,,
40,100,700,0.41397602,,,,
40,100,800,0.4137822,,,,
40,100,900,0.41351238,,,,
40,100,1000,0.41341458,,,,
40,200,100,1.04996562,,,,
40,200,200,0.83765428,,,,
40,200,300,0.62573912,,,,
40,200,400,0.45619174,,,,
40,200,500,0.41362436,,,,
40,200,600,0.41386924,,,,
40,200,700,0.4137744,,,,
40,200,800,0.41359832,,,,
40,200,900,0.41349616,,,,
40,200,1000,0.2014341,,,,
40,300,100,1.05112818,,,,
40,300,200,0.83752536,,,,
40,300,300,0.62571858,,,,
40,300,400,0.41397526,,,,
40,300,500,0.41341892,,,,
40,300,600,0.41372308,,,,
40,300,700,0.41375104,,,,
40,300,800,0.41312254,,,,
40,300,900,0.413462,,,,
40,300,1000,0.20163922,,,,
40,400,100,1.05051832,,,,
40,400,200,0.83801274,,,,
40,400,300,0.62557948,,,,
40,400,400,0.49819476,,,,
40,400,500,0.4135726,,,,
40,400,600,0.41427934,,,,
40,400,700,0.4132651,,,,
40,400,800,0.41394794,,,,
40,400,900,0.41375266,,,,
40,400,1000,0.20154894,,,,
40,500,100,1.04969798,,,,
40,500,200,0.83720124,,,,
40,500,300,0.62657138,,,,
40,500,400,0.41380838,,,,
40,500,500,0.4137084,,,,
40,500,600,0.41387408,,,,
40,500,700,0.41424532,,,,
40,500,800,0.41359818,,,,
40,500,900,0.3710185,,,,
40,500,1000,0.20175266,,,,
40,600,100,1.05012302,,,,
40,600,200,0.8382744,,,,
40,600,300,0.62596154,,,,
40,600,400,0.45682668,,,,
40,600,500,0.41392844,,,,
40,600,600,0.41381658,,,,
40,600,700,0.41338278,,,,
40,600,800,0.41363994,,,,
40,600,900,0.41340232,,,,
40,600,1000,0.20149516,,,,
40,700,100,1.04973842,,,,
40,700,200,0.837178,,,,
40,700,300,0.62575922,,,,
40,700,400,0.4989305,,,,
40,700,500,0.4140372,,,,
40,700,600,0.41359786,,,,
40,700,700,0.41340268,,,,
40,700,800,0.41326682,,,,
40,700,900,0.41373146,,,,
40,700,1000,0.20150414,,,,
40,800,100,1.04992986,,,,
40,800,200,0.83739028,,,,
40,800,300,0.6255458,,,,
40,800,400,0.4139792,,,,
40,800,500,0.4133464,,,,
40,800,600,0.4134678,,,,
40,800,700,0.41352722,,,,
40,800,800,0.41375334,,,,
40,800,900,0.41377126,,,,
40,800,1000,0.20145162,,,,
40,900,100,1.04986332,,,,
40,900,200,0.83815284,,,,
40,900,300,0.62620776,,,,
40,900,400,0.5411575,,,,
40,900,500,0.41343508,,,,
40,900,600,0.41357272,,,,
40,900,700,0.41338532,,,,
40,900,800,0.41358668,,,,
40,900,900,0.41399564,,,,
40,900,1000,0.2014413,,,,
40,1000,100,1.0496892,,,,
40,1000,200,0.83751064,,,,
40,1000,300,0.62570136,,,,
40,1000,400,0.49806532,,,,
40,1000,500,0.41371798,,,,
40,1000,600,0.41332924,,,,
40,1000,700,0.41382572,,,,
40,1000,800,0.41320618,,,,
40,1000,900,0.41351422,,,,
40,1000,1000,0.20154294,,,,
45,100,100,1.26138224,,,,
45,100,200,0.83853218,,,,
45,100,300,0.625552,,,,
45,100,400,0.62574972,,,,
45,100,500,0.62660938,,,,
45,100,600,0.45631458,,,,
45,100,700,0.41418144,,,,
45,100,800,0.41352314,,,,
45,100,900,0.4139332,,,,
45,100,1000,0.41351534,,,,
45,200,100,1.26202578,,,,
45,200,200,0.83732936,,,,
45,200,300,0.6260145,,,,
45,200,400,0.62515202,,,,
45,200,500,0.41378368,,,,
45,200,600,0.41405116,,,,
45,200,700,0.4137122,,,,
45,200,800,0.41342082,,,,
45,200,900,0.41395168,,,,
45,200,1000,0.41334066,,,,
45,300,100,1.26293884,,,,
45,300,200,0.8371078,,,,
45,300,300,0.6259447,,,,
45,300,400,0.6256891,,,,
45,300,500,0.41394894,,,,
45,300,600,0.4140748,,,,
45,300,700,0.41333258,,,,
45,300,800,0.41377384,,,,
45,300,900,0.41378364,,,,
45,300,1000,0.37119952,,,,
45,400,100,1.2627395,,,,
45,400,200,0.83738196,,,,
45,400,300,0.62565812,,,,
45,400,400,0.62576616,,,,
45,400,500,0.4139963,,,,
45,400,600,0.41377874,,,,
45,400,700,0.41426612,,,,
45,400,800,0.41317432,,,,
45,400,900,0.41344202,,,,
45,400,1000,0.41385936,,,,
45,500,100,1.26178732,,,,
45,500,200,0.83886226,,,,
45,500,300,0.62546334,,,,
45,500,400,0.6256909,,,,
45,500,500,0.4135172,,,,
45,500,600,0.41353512,,,,
45,500,700,0.4136902,,,,
45,500,800,0.41352316,,,,
45,500,900,0.41354166,,,,
45,500,1000,0.41414738,,,,
45,600,100,1.26055936,,,,
45,600,200,0.8380011,,,,
45,600,300,0.62566586,,,,
45,600,400,0.62584882,,,,
